date,average_temperature_f,states_reporting,station_observations
2018-03-27,43.553980245930475,47,2132
2018-03-28,46.567570943234806,47,2131
2018-03-29,47.391424438912324,47,2131
2018-03-30,46.47408511999722,47,2130
2018-03-31,44.77493158986272,47,2130
2018-04-01,44.00769075393143,48,2132
2018-04-02,41.44510536550631,48,2132
2018-04-03,43.993544286085346,48,2133
2018-04-04,43.175352370871316,48,2135
2018-04-05,41.28924433055183,48,2136
2018-04-06,42.327121952519185,48,2134
2018-04-07,39.660381126852826,48,2132
2018-04-08,38.00180360816441,48,2133
2018-04-09,40.96660795512136,48,2132
2018-04-10,44.223211141570026,48,2132
2018-04-11,47.74295152632482,48,2132
2018-04-12,51.2992644372653,48,2131
2018-04-13,52.727400940679736,48,2133
2018-04-14,49.33380243198246,48,2132
2018-04-15,43.367759772004895,48,2133
2018-04-16,41.94522634902696,48,2133
2018-04-17,43.67768186361938,48,2134
2018-04-18,47.237805967706656,48,2136
2018-04-19,46.574498493927955,48,2136
2018-04-20,45.881038786448975,48,2135
2018-04-21,49.40775288783879,48,2136
2018-04-22,52.05032562946712,48,2135
2018-04-23,53.19879053709499,48,2136
2018-04-24,54.02832849364293,48,2136
2018-04-25,54.13759671854397,48,2138
2018-04-26,54.649538260447834,48,2137
2018-04-27,54.97107072625921,48,2138
2018-04-28,54.794040945955835,48,2138
2018-04-29,52.62252115401711,48,2138
2018-04-30,53.32404114238835,48,2137
2018-05-01,57.348332722848845,48,2138
2018-05-02,62.363247625642146,48,2134
2018-05-03,63.35934587755212,48,2137
2018-05-04,64.05609122781557,48,2136
2018-05-05,63.3037629448821,48,2136
2018-05-06,62.715733176069726,48,2136
2018-05-07,62.807192290477445,48,2135
2018-05-08,63.32411032491543,48,2134
2018-05-09,64.09012827012462,48,2135
2018-05-10,62.65254557525754,48,2135
2018-05-11,60.93120336849716,48,2138
2018-05-12,60.57203403401288,48,2138
2018-05-13,61.65582921575312,48,2138
2018-05-14,64.65399555690091,48,2137
2018-05-15,65.86229134489801,48,2136
2018-05-16,64.51670080752237,48,2138
2018-05-17,63.981567940702895,48,2136
2018-05-18,62.51827743927985,48,2139
