date,diesel_dollars_per_gallon
2023-02-27,4.2940
2023-03-06,4.2820
2023-03-13,4.2470
2023-03-20,4.1850
2023-03-27,4.1280
2023-04-03,4.1050
2023-04-10,4.0980
2023-04-17,4.1160
2023-04-24,4.0770
2023-05-01,4.0180
2023-05-08,3.9220
2023-05-15,3.8970
2023-05-22,3.8830
2023-05-29,3.8550
2023-06-05,3.7970
2023-06-12,3.7940
2023-06-19,3.8150
2023-06-26,3.8010
2023-07-03,3.7670
2023-07-10,3.8060
2023-07-17,3.8060
2023-07-24,3.9050
2023-07-31,4.1270
2023-08-07,4.2390
2023-08-14,4.3780
2023-08-21,4.3890
2023-08-28,4.4750
2023-09-04,4.4920
2023-09-11,4.5400
2023-09-18,4.6330
2023-09-25,4.5860
2023-10-02,4.5930
2023-10-09,4.4980
2023-10-16,4.4440
2023-10-23,4.5450
2023-10-30,4.4540
2023-11-06,4.3660
2023-11-13,4.2940
2023-11-20,4.2090
2023-11-27,4.1460
2023-12-04,4.0920
2023-12-11,3.9870
2023-12-18,3.8940
2023-12-25,3.9140
2024-01-01,3.8760
2024-01-08,3.8280
2024-01-15,3.8630
2024-01-22,3.8380
2024-01-29,3.8670
2024-02-05,3.8990
2024-02-12,4.1090
2024-02-19,4.1090
2024-02-26,4.0580
2024-03-04,4.0220
2024-03-11,4.0040
2024-03-18,4.0280
2024-03-25,4.0340
2024-04-01,3.9960
2024-04-08,4.0610
2024-04-15,4.0150
2024-04-22,3.9920
2024-04-29,3.9470
2024-05-06,3.8940
2024-05-13,3.8480
2024-05-20,3.7890
2024-05-27,3.7580
2024-06-03,3.7260
2024-06-10,3.6580
2024-06-17,3.7350
2024-06-24,3.7690
2024-07-01,3.8130
2024-07-08,3.8650
2024-07-15,3.8260
2024-07-22,3.7790
2024-07-29,3.7680
2024-08-05,3.7550
2024-08-12,3.7040
2024-08-19,3.6880
2024-08-26,3.6510
2024-09-02,3.6250
2024-09-09,3.5550
2024-09-16,3.5260
2024-09-23,3.5390
2024-09-30,3.5440
2024-10-07,3.5840
2024-10-14,3.6310
2024-10-21,3.5530
2024-10-28,3.5730
2024-11-04,3.5360
2024-11-11,3.5210
2024-11-18,3.4910
2024-11-25,3.5390
2024-12-02,3.5400
2024-12-09,3.4580
2024-12-16,3.4940
2024-12-23,3.4760
2024-12-30,3.5030
2025-01-06,3.5610
2025-01-13,3.6020
2025-01-20,3.7150
2025-01-27,3.6590
2025-02-03,3.6600
2025-02-10,3.6650
2025-02-17,3.6770
2025-02-24,3.6970
2025-03-03,3.6350
2025-03-10,3.5820
2025-03-17,3.5490
2025-03-24,3.5670
2025-03-31,3.5920
2025-04-07,3.6390
2025-04-14,3.5790
2025-04-21,3.5340
2025-04-28,3.5140
2025-05-05,3.4970
2025-05-12,3.4760
2025-05-19,3.5360
2025-05-26,3.4870
2025-06-02,3.4510
2025-06-09,3.4710
2025-06-16,3.5710
2025-06-23,3.7750
2025-06-30,3.7270
2025-07-07,3.7390
2025-07-14,3.7580
2025-07-21,3.8120
2025-07-28,3.8050
2025-08-04,3.8000
2025-08-11,3.7540
2025-08-18,3.7130
2025-08-25,3.7080
2025-09-01,3.7340
2025-09-08,3.7660
2025-09-15,3.7390
2025-09-22,3.7490
2025-09-29,3.7540
2025-10-06,3.7110
2025-10-13,3.6650
2025-10-20,3.6200
2025-10-27,3.7180
2025-11-03,3.7530
2025-11-10,3.8370
2025-11-17,3.8680
2025-11-24,3.8310
2025-12-01,3.7580
2025-12-08,3.6650
2025-12-15,3.6070
2025-12-22,3.5440
2025-12-29,3.5000
2026-01-05,3.4770
2026-01-12,3.4590
2026-01-19,3.5300
2026-01-26,3.6240
2026-02-02,3.6810
2026-02-09,3.6880
2026-02-16,3.7110
2026-02-23,3.8090
2026-03-02,3.8970
2026-03-09,4.8590
